260|a	Geocode Location
United States. [Philadelphia? :	Philadelphia, Pennsylvania
United States [Philadelphia?]	Philadelphia, Pennsylvania
United States [Philadelphia] :	Philadelphia, Pennsylvania
Pittsfield, Mass.,	Pittsfield, Massachusetts
Pittsfield [Mass.] :	Pittsfield, Massachusetts
Pittsfield [Mass.]: :	Pittsfield, Massachusetts
[Plymouth, Mass.] :	Plymouth, Massachusetts
Plymouth: Massachusetts,	Plymouth, Massachusetts
Plymouth: Massachusetts. :	Plymouth, Massachusetts
A la Pointe--Pitre-Guadeloupe :	Pointe-a-Pitre, Guadeloupe
[Port-au-Prince, Haiti :	Port-au-Prince, Haiti
[Port-au-Prince, Haiti? :	Port-au-Prince, Haiti
[Port-au-Prince, Haiti?] :	Port-au-Prince, Haiti
[Port-au-Prince, Haiti] :	Port-au-Prince, Haiti
[Port-au-Prince :	Port-au-Prince, Haiti
[Port-au-Prince? :	Port-au-Prince, Haiti
[Port-au-Prince] :	Port-au-Prince, Haiti
Au Port-au-Prince, :	Port-au-Prince, Haiti
Au Port-au-Prince, [Haiti] :	Port-au-Prince, Haiti
Au port-au-Prince :	Port-au-Prince, Haiti
Au Port-au-Prince :	Port-au-Prince, Haiti
Au Port-au-Prince., :	Port-au-Prince, Haiti
Au Port-au-Prince [Haiti] :	Port-au-Prince, Haiti
Au Port-Republicain :	Port-au-Prince, Haiti
Au Port-Rpublicain [i.e. Port-au-Prince, Haiti] :	Port-au-Prince, Haiti
Au Port-Rpublicain [i.e. Port-au-Prince] :	Port-au-Prince, Haiti
Au Port-Rpublicain [Port-au-Prince] :	Port-au-Prince, Haiti
Port-au-Prince,	Port-au-Prince, Haiti
Port-au-Prince :	Port-au-Prince, Haiti
Port-au-Prince [Haiti] :	Port-au-Prince, Haiti
[Portland, Me. :	Portland, Maine
[Portland, Me.? :	Portland, Maine
[Portland, Me.] :	Portland, Maine
[Portland] :	Portland, Maine
0	Portland, Maine
District of Maine: Portland, :	Portland, Maine
District of Maine: Printed at Portland, :	Portland, Maine
Maine: Portland, :	Portland, Maine
Portland,	Portland, Maine
Portland, Me.	Portland, Maine
Portland [Me.]	Portland, Maine
Portland [Me.], :	Portland, Maine
Portland [Me.] :	Portland, Maine
Portland [Me.]: :	Portland, Maine
Printed at Portland [Me.], :	Portland, Maine
Printed at Portland [Me.] :	Portland, Maine
[Port Royal, Jamaica? :	Port Royal, Jamaica
[Portsmouth, N.H?	Portsmouth, New Hampshire
[Portsmouth, N.H. :	Portsmouth, New Hampshire
[Portsmouth, N.H.? :	Portsmouth, New Hampshire
[Portsmouth, N.H.] :	Portsmouth, New Hampshire
[Portsmouth? :	Portsmouth, New Hampshire
[Portsmouth] New-Hampshire, :	Portsmouth, New Hampshire
[Portsmouth] New-Hampshire :	Portsmouth, New Hampshire
New-Hampshire: Portsmouth, :	Portsmouth, New Hampshire
Portsmouth,	Portsmouth, New Hampshire
Portsmouth, (N.H.) :	Portsmouth, New Hampshire
Portsmouth, (New-Hampshire,) :	Portsmouth, New Hampshire
Portsmouth, (New Hampshire) :	Portsmouth, New Hampshire
Portsmouth, (New-Hampshire) :	Portsmouth, New Hampshire
Portsmouth, [N.H.]	Portsmouth, New Hampshire
Portsmouth, [N.H.] :	Portsmouth, New Hampshire
Portsmouth, in New-Hampshire, N.E. :	Portsmouth, New Hampshire
Portsmouth, in New-Hampshire :	Portsmouth, New Hampshire
Portsmouth, in New-Hampshire  :	Portsmouth, New Hampshire
Portsmouth, in New-Hampshire: :	Portsmouth, New Hampshire
Portsmouth, N.H.,	Portsmouth, New Hampshire
Portsmouth, N.H. :	Portsmouth, New Hampshire
Portsmouth, New Hampshire,	Portsmouth, New Hampshire
Portsmouth, New-Hampshire,	Portsmouth, New Hampshire
Portsmouth, New-Hampshire, :	Portsmouth, New Hampshire
Portsmouth, New-Hampshire:	Portsmouth, New Hampshire
Portsmouth, New-Hampshire :	Portsmouth, New Hampshire
Portsmouth, New-Hampshire  :	Portsmouth, New Hampshire
Portsmouth, New-Hampshire: :	Portsmouth, New Hampshire
Portsmouth :	Portsmouth, New Hampshire
Portsmouth: New-Hampshire, :	Portsmouth, New Hampshire
Portsmouth: -- New-Hampshire, :	Portsmouth, New Hampshire
Portsmouth:--New-Hampshire, :	Portsmouth, New Hampshire
Portsmouth: New-Hampshire :	Portsmouth, New Hampshire
Portsmouth:--New-Hampshire :	Portsmouth, New Hampshire
Portsmouth (N.H.)	Portsmouth, New Hampshire
Portsmouth [N.H.], :	Portsmouth, New Hampshire
Portsmouth [N.H.]:	Portsmouth, New Hampshire
Portsmouth [N.H.] :	Portsmouth, New Hampshire
Portsmouth [N.H.]: :	Portsmouth, New Hampshire
Portsmouth and Exeter, N. H.,	Portsmouth, New Hampshire
Portsmouth in New-Hampshire: :	Portsmouth, New Hampshire
Portsmouth  New-Hampshire, :	Portsmouth, New Hampshire
Portsmouth--New-Hampshire :	Portsmouth, New Hampshire
Printed at Portsmouth, in the state of New-Hampshire :	Portsmouth, New Hampshire
Printed at Portsmouth, New-Hampshire, :	Portsmouth, New Hampshire
State of New-Hampshire, Portsmouth :	Portsmouth, New Hampshire
State of New Hampshire: Portsmouth :	Portsmouth, New Hampshire
State of New-Hampshire: Portsmouth: :	Portsmouth, New Hampshire
[Potosi?	Potosi, Bolivia
[Poughkeepsie, N.Y.?] :	Poughkeepsie, New York
Poughkeepsie [N.Y.] :	Poughkeepsie, New York
Pownalborough [Me.]: :	Pownalborough, Maine
[Princeton, N.J.] :	Princeton, New Jersey
Princeton [N.J.] :	Princeton, New Jersey
(Providence :	Providence, Rhode Island
[Providence 	Providence, Rhode Island
[Providence,	Providence, Rhode Island
[Providence, R.I. :	Providence, Rhode Island
[Providence, R.I.? :	Providence, Rhode Island
[Providence, R.I.] :	Providence, Rhode Island
[Providence:	Providence, Rhode Island
[Providence :	Providence, Rhode Island
[Providence?	Providence, Rhode Island
[Providence? :	Providence, Rhode Island
[Providence?] :	Providence, Rhode Island
[Providence]	Providence, Rhode Island
[Providence] :	Providence, Rhode Island
America: Printed at Providence (R. Island) :	Providence, Rhode Island
America: Providence (Rhode-Island) :	Providence, Rhode Island
America [i.e. Providence, R.I.] :	Providence, Rhode Island
America-Providence (Rhode-Island) :	Providence, Rhode Island
"London,;""Providence,"""	Providence, Rhode Island
"Newport, R.I.,;""Providence, R.I.,"""	Providence, Rhode Island
"Philadelphia,;""Providence,"""	Providence, Rhode Island
Printed, at Providence :	Providence, Rhode Island
Printed at Providence,	Providence, Rhode Island
Printed at Providence, :	Providence, Rhode Island
Printed at Providence:	Providence, Rhode Island
Printed at Providence :	Providence, Rhode Island
Printed at Providence (R.I.) :	Providence, Rhode Island
Printed at Providence (R. Island) :	Providence, Rhode Island
Printed at Providence (Rhode-Island) :	Providence, Rhode Island
Printed in Providence, :	Providence, Rhode Island
Providence	Providence, Rhode Island
Providence,	Providence, Rhode Island
"Providence,;""Newport,"""	Providence, Rhode Island
Providence, :	Providence, Rhode Island
Providence, (New-England) :	Providence, Rhode Island
Providence, [R. I.] :	Providence, Rhode Island
Providence, in New-England,	Providence, Rhode Island
Providence, in New England :	Providence, Rhode Island
Providence, in New-England:	Providence, Rhode Island
Providence, in New-England :	Providence, Rhode Island
Providence, in New England: :	Providence, Rhode Island
Providence, in New-England: :	Providence, Rhode Island
Providence, New-England :	Providence, Rhode Island
Providence, R.I.,	Providence, Rhode Island
Providence, R.I. :	Providence, Rhode Island
Providence, Rhode Island:	Providence, Rhode Island
Providence, Rhode-Island :	Providence, Rhode Island
Providence, Rhode-Island: :	Providence, Rhode Island
Providence:	Providence, Rhode Island
Providence :	Providence, Rhode Island
Providence: :	Providence, Rhode Island
Providence (New-England)	Providence, Rhode Island
Providence (R.I.)	Providence, Rhode Island
Providence (R. I.)	Providence, Rhode Island
Providence (R.I.) :	Providence, Rhode Island
Providence (R. Island)	Providence, Rhode Island
Providence (Rhode-Island:) :	Providence, Rhode Island
Providence (Rhode-Island)	Providence, Rhode Island
Providence (Rhode Island) :	Providence, Rhode Island
Providence (Rhode-Island) :	Providence, Rhode Island
Providence [R.I.]	Providence, Rhode Island
Providence [R.I.] :	Providence, Rhode Island
Providence [R.I.]: :	Providence, Rhode Island
Providence [Rhode Island]	Providence, Rhode Island
Providentiae: :	Providence, Rhode Island
Re-printed at Providence, :	Providence, Rhode Island
Reprinted at Providence, :\	Providence, Rhode Island
Reprinted at Providence :	Providence, Rhode Island
Rhode-Island :	Providence, Rhode Island
State of Rhode-Island, &c. Printed at Providence :	Providence, Rhode Island
[Mexico City or Puebla, Mexico :	Puebla, Mexico
[Puebla, Mexico :	Puebla, Mexico
[Puebla, Mexico] :	Puebla, Mexico
[Puebla :	Puebla, Mexico
[Puebla? :	Puebla, Mexico
[Puebla] :	Puebla, Mexico
[Puebla de los Angeles, Mexico] :	Puebla, Mexico
[Puebla de los Angeles :	Puebla, Mexico
[Puebla de los Angeles] :	Puebla, Mexico
[Puebla de Zaragoza, Mexico :	Puebla, Mexico
[Puebla de Zaragoza, Mexico] :	Puebla, Mexico
[Puebla de Zaragoza] :	Puebla, Mexico
Angelopoli :	Puebla, Mexico
Angelopoli [i.e. Puebla de los Angeles] :	Puebla, Mexico
Angelopoli [Puebla, Mexico] :	Puebla, Mexico
Con licencia, en la Puebla :	Puebla, Mexico
Con licencia, y por su original, en la Puebla :	Puebla, Mexico
Con licencia: en la Puebla :	Puebla, Mexico
Con licencia del Ordinario: en la Puebla :	Puebla, Mexico
Con licencia de los superiores. En la Puebla :	Puebla, Mexico
Con licencia en la Puebla :	Puebla, Mexico
Con licencia en la Puebla de los Angeles :	Puebla, Mexico
Con lie[]cia en la Puebla :	Puebla, Mexico
En dicha Ciudad [Puebla] :	Puebla, Mexico
En la Ciudad de los Angeles, :	Puebla, Mexico
En la Puebla, :	Puebla, Mexico
En la Puebla :	Puebla, Mexico
En la Puebla  :	Puebla, Mexico
En  la Puebla :	Puebla, Mexico
En la Puebla de los Angeles, :	Puebla, Mexico
En la Puebla de los Angeles, [Mexico] :	Puebla, Mexico
En la Puebla de los Angeles :	Puebla, Mexico
En La Puebla de los Angeles :	Puebla, Mexico
Impresa en la Puebla de los Angeles :	Puebla, Mexico
Impreso con las licencias necesarias en la Puebla :	Puebla, Mexico
Impreso en la Puebla :	Puebla, Mexico
Impreso en la Puebla de los Angeles :	Puebla, Mexico
Impressa con licencia: en la Puebla :	Puebla, Mexico
Impresso en la Puebla de los Angeles, :	Puebla, Mexico
Impresso en la Puebla de los Angeles :	Puebla, Mexico
Imprsso [sic] en la Puebla,	Puebla, Mexico
Puebla :	Puebla, Mexico
Puebla de los Angeles, [Mexico] :	Puebla, Mexico
Puebla de los Angeles :	Puebla, Mexico
Puebla de Los Angeles :	Puebla, Mexico
"Puebla de los Angeles :;""y en Mxico en la de D. Felipe de Zuiga y Ontiveros, Calle del Espirito Santo,"""	Puebla, Mexico
Reimpr. Angelopoli: :	Puebla, Mexico
Reimpresa en la Puebla, de los Angeles :	Puebla, Mexico
Reimpresa en la Puebla :	Puebla, Mexico
Reimpresa en la Puebla de los Angeles :	Puebla, Mexico
Reimpresas en la Puebla de los Angeles :	Puebla, Mexico
Reimpresa  solicitud de un religioso franciscano descalzo del convento de S. Antonio y Santa Brbara de la ciudad de la Puebla de los Angeles :	Puebla, Mexico
Reimpreso en la Puebla :	Puebla, Mexico
Reimpreso en la Puebla de los Angeles :	Puebla, Mexico
Reimpressa: en la Puebla :	Puebla, Mexico
Reimpressa. En la Puebla :	Puebla, Mexico
Reimpressa en la Puebla :	Puebla, Mexico
Reimpressa en la Puebla de los Angeles :	Puebla, Mexico
Reimpressas en la Puebla :	Puebla, Mexico
Reimpresso: en la Puebla :	Puebla, Mexico
Reimpresso en la Puebla :	Puebla, Mexico
Reimpresso en La Puebla :	Puebla, Mexico
Reympresso en la Puebla :	Puebla, Mexico
Segunda impression en la Puebla :	Puebla, Mexico
[Putney, Vt.] :	Putney, Vermont
Putney [Vt.] :	Putney, Vermont
[Qubec :	Quebec, Quebec
[Qubec? ,	Quebec, Quebec
[Quebec, Quebec (Province)] :	Quebec, Quebec
[Quebec] :	Quebec, Quebec
A Qubec :	Quebec, Quebec
A Quebec :	Quebec, Quebec
Qubec :	Quebec, Quebec
Quebec,	Quebec, Quebec
Quebec :	Quebec, Quebec
"Uabistiguiatsh :;""Quebec :"""	Quebec, Quebec
Uabistiguiatsh. :	Quebec, Quebec
Uabistiguiatsh [i.e. Qubec City] :	Quebec, Quebec
[Quito :	Quito, Ecuador
Impresa en Quito :	Quito, Ecuador
Impreso en Quito :	Quito, Ecuador
Impreso  en Quito :	Quito, Ecuador
Quito :	Quito, Ecuador
[North Carolina?] :	Raleigh, North Carolina
[Reading, Pa.? :	Reading, Pennsylvania
[Reading?, Pa.,	Reading, Pennsylvania
Reading [Pa.] :	Reading, Pennsylvania
[Richmond, Va :	Richmond, Virginia
[Richmond, Va.? :	Richmond, Virginia
[Richmond :	Richmond, Virginia
"[Richmond :;""Philadelphia :"""	Richmond, Virginia
[Richmond (Va.) :	Richmond, Virginia
Richmond, Virginia :	Richmond, Virginia
Richmond:	Richmond, Virginia
Richmond :	Richmond, Virginia
Richmond: :	Richmond, Virginia
Richmond [Va.] :	Richmond, Virginia
Richmond [Va.]: :	Richmond, Virginia
Rio de Janeiro :	Rio de Janeiro, Brazil
Rochester,	Rochester, New York
[Dominica W.I.? :	Roseau, Dominica
Roxbury [Mass. :	Roxbury, Massachusetts
[Rutland, Vt.? :	Rutland, Vermont
[Rutland, Vt.] :	Rutland, Vermont
Printed at Rutland [Vt.] :	Rutland, Vermont
Rutland,	Rutland, Vermont
Rutland [Vt.] :	Rutland, Vermont
Rutland [Vt.]: :	Rutland, Vermont
State of Vermont. Printed at Rutland :	Rutland, Vermont
Sagg-Harbour [N.Y.] :	Sag Harbor, New York
Sag-Harbor [N.Y.] :	Sag Harbor, New York
Sag-Harbor [N.Y.]: :	Sag Harbor, New York
[A Saint-George Grenada :	Saint George, Grenada
[Saint George's, Grenada? :	Saint George, Grenada
[St. George?] :	Saint George, Grenada
A la Grenade [Saint George's?] :	Saint George, Grenada
Grenade, a Saint-George :	Saint George, Grenada
Brookville :	Saint John, New Brunswick
Fredericton :	Saint John, New Brunswick
Fredericton [i.e. Saint John] :	Saint John, New Brunswick
St. John :	Saint John, New Brunswick
St. John [N.B.] :	Saint John, New Brunswick
St John :	Saint John, New Brunswick
[Antigua :	Saint Johns, Antigua and Barbuda
[Antigua? :	Saint Johns, Antigua and Barbuda
[Antigua] :	Saint Johns, Antigua and Barbuda
[St. John?] :	Saint Johns, Antigua and Barbuda
Antigua :	Saint Johns, Antigua and Barbuda
St. John's, Antigua :	Saint Johns, Antigua and Barbuda
St. John's :	Saint Johns, Antigua and Barbuda
[Saint-Marc, Haiti? :	Saint-Marc, Haiti
[Saint-Marc, Haiti?] :	Saint-Marc, Haiti
A Saint-Marc :	Saint-Marc, Haiti
A Saint-Marc [Haiti] :	Saint-Marc, Haiti
[St. Mary's, Md.]	Saint Marys, Maryland
[Saint-Pierre, Martinique :	Saint Pierre, Martinique
[Saint Pierre, Martinique? :	Saint Pierre, Martinique
[Saint-Pierre, Martinique? :	Saint Pierre, Martinique
[St. Pierre, Martinique? :	Saint Pierre, Martinique
[Salem, Mass?	Salem, Massachusetts
[Salem, Mass. :	Salem, Massachusetts
[Salem, Mass.? :	Salem, Massachusetts
[Salem, Mass.] :	Salem, Massachusetts
[Salem, Massachusetts :	Salem, Massachusetts
[Salem? :	Salem, Massachusetts
[Salem] Massachusetts: :	Salem, Massachusetts
Marblehead [i.e., Salem, Mass.?] :	Salem, Massachusetts
Marblehead [i.e. Salem, Mass.]: :	Salem, Massachusetts
Printed at Salem [Mass.], :	Salem, Massachusetts
Printed at Salem [Mass.] :	Salem, Massachusetts
Salem,	Salem, Massachusetts
Salem, [Mass.]	Salem, Massachusetts
Salem, [Mass.] :	Salem, Massachusetts
Salem, [Mass.] New-England: :	Salem, Massachusetts
Salem, Mass :	Salem, Massachusetts
Salem, Mass.,	Salem, Massachusetts
Salem, New-England :	Salem, Massachusetts
Salem:	Salem, Massachusetts
Salem :	Salem, Massachusetts
Salem: :	Salem, Massachusetts
Salem: [Mass.] :	Salem, Massachusetts
Salem [Mass.]	Salem, Massachusetts
Salem [Mass.], New-England :	Salem, Massachusetts
Salem [Mass.], New-England: :	Salem, Massachusetts
Salem [Mass.]:	Salem, Massachusetts
Salem [Mass.] :	Salem, Massachusetts
Salem [Mass.]: :	Salem, Massachusetts
Salem [Mass.]: N.E. :	Salem, Massachusetts
Salem Mass :	Salem, Massachusetts
En el pueblo de S. Francisco Xavier [Paraguay] :	San Javier, Argentina
En el Pueblo de S. Maria la Mayor :	Santa Maria la Mayor, Argentina
En el pueblo de S. Maria la Mayor. [Paraguay :	Santa Maria la Mayor, Argentina
En el pueblo de S. Maria la Mayor. [Paraguay] :	Santa Maria la Mayor, Argentina
S. Paolo nel Brasile :	São Paulo, Brazil
[Savannah :	Savannah, Georgia
[Savannah] :	Savannah, Georgia
Savannah :	Savannah, Georgia
Schenectady [N.Y.] :	Schenectady, New York
Schenectady [N.Y.]: :	Schenectady, New York
[Scotch Plains, N.J.? :	Scotch Plains, New Jersey
[Sheffield, Mass.? :	Sheffield, Massachusetts
Shepherd's-Town [Va.] :	ShepherdsTown, Virginia
Shrewsbury,	Shrewsbury, Massachusetts
Shrewsbury, Mass. :	Shrewsbury, Massachusetts
St. Eustatius :	Sint Eustatius, Netherlands Antilles
[Southampton County, Va.] :	Southampton County, Virginia
[St. Jago de la Vega,	Spanish Town, Jamaica
Saint Jago de la Vega :	Spanish Town, Jamaica
St. Jago de la Vega, Jamaica :	Spanish Town, Jamaica
St Jago de la Vega [Spanish Town, Jamaica] :	Spanish Town, Jamaica
[Springfield, Mass.? :	Springfield, Massachusetts
[Springfield, Mass.] :	Springfield, Massachusetts
Commonwealth of Massachusetts. Springfield :	Springfield, Massachusetts
Printed at Springfield, (Massachusetts) :	Springfield, Massachusetts
Printed at Springfield, Massachusetts, :	Springfield, Massachusetts
Printed at Springfield, Massachusetts :	Springfield, Massachusetts
Springfield,	Springfield, Massachusetts
Springfield, (Massachusetts) :	Springfield, Massachusetts
Springfield, Massachusetts :	Springfield, Massachusetts
Springfield :	Springfield, Massachusetts
Springfield: (Massachusetts.) :	Springfield, Massachusetts
Springfield: <Massachusetts>	Springfield, Massachusetts
Springfield--(Massa.)-- :	Springfield, Massachusetts
Springfield [Mass.]	Springfield, Massachusetts
Springfield [Mass.] :	Springfield, Massachusetts
Springfield [Mass.]: :	Springfield, Massachusetts
St. Augustine, East-Florida :	St Augustine, Florida
St. Augustine, East-Florida: :	St Augustine, Florida
Staunton [Va.]: :	Staunton, Virginia
[Stockbridge, Mass.] :	Stockbridge, Massachusetts
Printed at Stockbridge [Mass.], :	Stockbridge, Massachusetts
Printed at Stockbridge [Mass.] :	Stockbridge, Massachusetts
Re-printed at Stockbridge, Massachusetts :	Stockbridge, Massachusetts
Stockbridge :	Stockbridge, Massachusetts
Stockbridge [Mass.]	Stockbridge, Massachusetts
Stockbridge [Mass.] :	Stockbridge, Massachusetts
Stockbridge [Mass.]: :	Stockbridge, Massachusetts
Stonington-Port [Conn.]	Stonington, Connecticut
Stonington-Port [Conn.], :	Stonington, Connecticut
Stonington-Port [Conn.] :	Stonington, Connecticut
Printed at Suffield [Conn.], :	Suffield, Connecticut
Printed at Suffield [Conn.] :	Suffield, Connecticut
Suffield [Conn.], :	Suffield, Connecticut
Suffield [Conn.] :	Suffield, Connecticut
Suffield [Conn.]: :	Suffield, Connecticut
Sutton, Mass. :	Sutton, Massachusetts
[Taunton, Mass.? :	Taunton, Massachusetts
Taunton	Taunton, Massachusetts
(Trenton :	Trenton, New Jersey
Trenton,	Trenton, New Jersey
Trenton, [N.J.] :	Trenton, New Jersey
Trenton, N.J. :	Trenton, New Jersey
Trenton:	Trenton, New Jersey
Trenton :	Trenton, New Jersey
Trenton: :	Trenton, New Jersey
Trenton [N.J.], :	Trenton, New Jersey
Trenton [N.J.] :	Trenton, New Jersey
[Troy, N.Y.] :	Troy, New York
Troy,	Troy, New York
Troy [N.Y.]	Troy, New York
Troy [N.Y.] :	Troy, New York
Union [i.e. Uniontown, Pa.] :	Uniontown, Pennsylvania
[Wallingford? Conn.,	Wallingford, Connecticut
Printed at Walpole, Newhampshire,	Walpole, New Hampshire
Printed at Walpole, Newhampshire, :	Walpole, New Hampshire
Printed at Walpole, Newhampshire :	Walpole, New Hampshire
Printed at Walpole, New Hampshire :	Walpole, New Hampshire
Walpole, N. H.	Walpole, New Hampshire
Walpole, N.H. :	Walpole, New Hampshire
Walpole, Newhampshire,	Walpole, New Hampshire
Walpole, Newhampshire, :	Walpole, New Hampshire
Walpole, Newhampshire :	Walpole, New Hampshire
Walpole, New Hampshire :	Walpole, New Hampshire
Walpole, Newhampshire. :	Walpole, New Hampshire
[R.I.] :	Warren, Rhode Island
[Warren, R.I.? :	Warren, Rhode Island
[Warren, R.I.] :	Warren, Rhode Island
[Warren] :	Warren, Rhode Island
Printed at Warren (R.I.) :	Warren, Rhode Island
Warren,	Warren, Rhode Island
Warren, R.I.	Warren, Rhode Island
Warren, R.I.,	Warren, Rhode Island
Warren, R.I. :	Warren, Rhode Island
Warren :	Warren, Rhode Island
Warren (R.I.) :	Warren, Rhode Island
Warren (R. Island) :	Warren, Rhode Island
Warren (Rhode Island) :	Warren, Rhode Island
Warren (Rhode-Island) :	Warren, Rhode Island
Warren [R.I.]	Warren, Rhode Island
Warren [R.I.] :	Warren, Rhode Island
[Warwick, Mass.,	Warwick, Massachusetts
[Warwick, Pa. :	Warwick, Pennsylvania
[Washington,	Washington, District of Columbia
[Washington, D.C.,	Washington, District of Columbia
[Washington, D.C. :	Washington, District of Columbia
[Washington]	Washington, District of Columbia
Washington City [D.C.] :	Washington, District of Columbia
Washington [Pa.] :	Washington, Pennsylvania
Washington [Pa.]: :	Washington, Pennsylvania
Waterford,	Waterford, New York
Waterford [N.Y.] :	Waterford, New York
[Watertown, Mass. :	Watertown, Massachusetts
[Watertown, Mass.? :	Watertown, Massachusetts
[Watertown, Mass.] :	Watertown, Massachusetts
Watertown: :	Watertown, Massachusetts
Watertown: New-England [i.e., Watertown, Mass.] :	Watertown, Massachusetts
Watertown [Mass.] :	Watertown, Massachusetts
Watertown [Mass.]: :	Watertown, Massachusetts
[Westminster, Vt. :	Westminster, Vermont
West-Springfied [sic] [Mass.] :	West Springfield, Massachusetts
West-Springfield [Mass.] :	West Springfield, Massachusetts
West-Springfield [Mass.]: :	West Springfield, Massachusetts
Whitehall :	Whitehall, Pennsylvania
Whitehall [Pa.] :	Whitehall, Pennsylvania
[Williamsburg, Va. :	Williamsburg, Virginia
[Williamsburg, Va.? :	Williamsburg, Virginia
[Williamsburg, Va.] :	Williamsburg, Virginia
[Williamsburg? :	Williamsburg, Virginia
Williamsburg :	Williamsburg, Virginia
Williamsburg: :	Williamsburg, Virginia
Williamsburg [Va.] :	Williamsburg, Virginia
Williamsburg [Va.]: :	Williamsburg, Virginia
[Wilmington, Del. :	Wilmington, Delaware
[Wilmington, Del.] :	Wilmington, Delaware
[Wilmington, Del] :	Wilmington, Delaware
Wilmington, :	Wilmington, Delaware
Wilmington, (Delaware): 	Wilmington, Delaware
Wilmington :	Wilmington, Delaware
Wilmington (DeL.)	Wilmington, Delaware
Wilmington (Delaware) :	Wilmington, Delaware
Wilmington [Del.]	Wilmington, Delaware
Wilmington [Del.], :	Wilmington, Delaware
Wilmington [Del.], Re-printed by James Adams, M,DCC,LXXXIII [i. e. 1783]	Wilmington, Delaware
Wilmington [Del.]:	Wilmington, Delaware
Wilmington [Del.] :	Wilmington, Delaware
Wilmington [Del.]: :	Wilmington, Delaware
Wilmingtonii :	Wilmington, Delaware
Wilmington,	Wilmington, Massachusetts
Wilmington, (North-Carolina) :	Wilmington, North Carolina
[Windham, Conn. :	Windham, Connecticut
[Windham, Conn.?	Windham, Connecticut
[Windham, Conn.] :	Windham, Connecticut
Printed at Windham, (Connecticut) :	Windham, Connecticut
Windham,	Windham, Connecticut
Windham, Conn. :	Windham, Connecticut
Windham [Conn.]	Windham, Connecticut
Windham [Conn.] :	Windham, Connecticut
Windham [Conn.]: :	Windham, Connecticut
[Windsor, Vt.? :	Windsor, Vermont
[Windsor, Vt.] :	Windsor, Vermont
[Windsor] :	Windsor, Vermont
Printed at Windsor, Vermont, :	Windsor, Vermont
Printed at Windsor, Vermont :	Windsor, Vermont
Printed at Windsor [Vt.], :	Windsor, Vermont
Windsor, [Vt.] :	Windsor, Vermont
Windsor [Vt.] :	Windsor, Vermont
Windsor [Vt.]: :	Windsor, Vermont
Wiscasset [Me.] :	Wiscasset, Maine
Wiscasset [Me.]: :	Wiscasset, Maine
Woodbridge, in New Jersey :	Woodbridge, New Jersey
Woodbridge, in New-Jersey :	Woodbridge, New Jersey
[Worcester, Mass. :	Worcester, Massachusetts
[Worcester, Mass.? :	Worcester, Massachusetts
[Worcester, Mass.] :	Worcester, Massachusetts
[Worcester] :	Worcester, Massachusetts
Massachusetts. Worcester, :	Worcester, Massachusetts
Massachusetts-Bay: Worcester, :	Worcester, Massachusetts
Massachusetts-Bay: Worcester :	Worcester, Massachusetts
Massachusetts-Bay [Worcester] :	Worcester, Massachusetts
Printed, typographically, at Worcester, Massachusetts, :	Worcester, Massachusetts
Printed at Worcester,	Worcester, Massachusetts
Printed at Worcester, :	Worcester, Massachusetts
Printed at Worcester, (Massachusetts,) :	Worcester, Massachusetts
Printed at Worcester, (Massachusetts) :	Worcester, Massachusetts
Printed at Worcester, Mass.,	Worcester, Massachusetts
Printed at Worcester, Massachusetts,	Worcester, Massachusetts
Printed at Worcester, Massachusetts, :	Worcester, Massachusetts
Printed at Worcester, Massachusetts :	Worcester, Massachusetts
Printed at Worcester, Massachusetts. :	Worcester, Massachusetts
Printed at Worcester :	Worcester, Massachusetts
Printed at Worcester [Mass.], :	Worcester, Massachusetts
Printed at Worcester [Mass.] :	Worcester, Massachusetts
Printed in Worcester, Massachusetts :	Worcester, Massachusetts
Published at Worcester [Mass.] :	Worcester, Massachusetts
United States of America.	Worcester, Massachusetts
United States of America. Printed at the press in Worcester, Massachusetts :	Worcester, Massachusetts
United States of Columbia. Printed at Worcester, Massachusetts :	Worcester, Massachusetts
United States of Columbia. Printed at Worcester, Massachusetts. :	Worcester, Massachusetts
Wigorni¾, Massachusettensis, :	Worcester, Massachusetts
Wigorniae (Worcester) Massachusetts,	Worcester, Massachusetts
Worcester,	Worcester, Massachusetts
Worcester, (Massachusetts:) :	Worcester, Massachusetts
Worcester, (Massachusetts) :	Worcester, Massachusetts
Worcester, Mass :	Worcester, Massachusetts
Worcester, Mass.,	Worcester, Massachusetts
Worcester, Mass. :	Worcester, Massachusetts
Worcester, Massachusetts,	Worcester, Massachusetts
Worcester, Massachusetts :	Worcester, Massachusetts
Worcester:	Worcester, Massachusetts
Worcester :	Worcester, Massachusetts
Worcester: Massachusetts-Bay, :	Worcester, Massachusetts
Worcester: Massachusetts-Bay :	Worcester, Massachusetts
Worcester [Mass.]	Worcester, Massachusetts
Worcester [Mass.] :	Worcester, Massachusetts
Worcester [Mass.]: :	Worcester, Massachusetts
Worcester [Mass.]. :	Worcester, Massachusetts
Worcester [Mass] :	Worcester, Massachusetts
Worcester  Massachusetts-Bay, :	Worcester, Massachusetts
[Wrentham, Mass.,	Wrentham, Massachusetts
[Wrentham, Mass.]	Wrentham, Massachusetts
[Wrentham, Mass.] :	Wrentham, Massachusetts
Printed at Wrentham, (Massachusetts:) :	Wrentham, Massachusetts
Printed at Wrentham, Massachusetts, :	Wrentham, Massachusetts
